"DOTA_Tooltip_ability_mage_fireblast"	"火焰爆轰"
"DOTA_Tooltip_ability_mage_fireblast_Description"	"以一波火焰轰击目标，造成【%sp_factor%%%法术强度】点魔法伤害。<br>不会打断其他技能施法，必定造成暴击。"

"DOTA_Tooltip_ability_mage_searing_arrows"	"灼热之箭"
"DOTA_Tooltip_ability_mage_searing_arrows_Description"	"激活后，失去你的全部攻击力，攻击距离固定为%attack_range_override%，攻击间隔提升至%attack_time_override%，将你的攻击替换成燃烧的箭矢，箭矢造成【%sp_factor%%%法术强度】点魔法伤害且具有克敌机先。<br>每当灼热之箭未能造成暴击，它就会额外获得%bonus_crit_chance%%%的魔法暴击几率，直至它暴击。"
"DOTA_Tooltip_modifier_mage_searing_arrows"	"灼热之箭"
"DOTA_Tooltip_modifier_mage_searing_arrows_Description"	"攻击替换为燃烧的箭矢，额外拥有%dMODIFIER_PROPERTY_TOOLTIP%%%暴击几率"

"DOTA_Tooltip_ability_mage_light_strike_array"	"光击阵"
"DOTA_Tooltip_ability_mage_light_strike_array_Description"	"经过%spell_time%秒施法前摇后，召唤一根火柱，燃烧目标区域内的所有敌人，造成【%sp_factor%%%法术强度】点魔法伤害，并使他们的移动速度降低%slow_down_pct%%%，持续%duration%秒。"
"DOTA_Tooltip_modifier_mage_light_strike_array"	"光击阵"
"DOTA_Tooltip_modifier_mage_light_strike_array_Description"	"移动速度降低"

"DOTA_Tooltip_ability_mage_laguna_blade"	"神灭斩"
"DOTA_Tooltip_ability_mage_laguna_blade_Description"	"经过%spell_time%秒施法前摇后，对目标射出一道炙热的闪电，造成【%sp_factor%%%法术强度】点魔法伤害。"

"DOTA_Tooltip_ability_mage_fiery_soul"	"炽魂"
"DOTA_Tooltip_ability_mage_fiery_soul_Description"	"被动：每当你的连续两个技能造成魔法暴击，就会立刻重置光击阵和神灭斩的冷却时间，并使下一次光击阵或神灭斩变为瞬发，且累积%combo_multiple%%%的液态火伤害。\n主动：将自己包裹在火焰中，提高%bonus_magical_crit_chance%%%的魔法暴击几率，持续%duration%秒。"
"DOTA_Tooltip_modifier_mage_fiery_soul"	"炽魂"
"DOTA_Tooltip_modifier_mage_fiery_soul_Description"	"你的技能已经连续暴击%dMODIFIER_PROPERTY_TOOLTIP%次"
"DOTA_Tooltip_modifier_mage_fiery_soul_buff"	"炽魂"
"DOTA_Tooltip_modifier_mage_fiery_soul_buff_Description"	"魔法暴击几率提高"
"DOTA_Tooltip_modifier_mage_fiery_soul_combo"	"炽魂：瞬发"
"DOTA_Tooltip_modifier_mage_fiery_soul_combo_Description"	"下一次光击阵或神灭斩变为瞬发，且累积%dMODIFIER_PROPERTY_TOOLTIP%%%的液态火伤害"

"DOTA_Tooltip_ability_mage_hellfire_blast"	"明火暴击"
"DOTA_Tooltip_ability_mage_hellfire_blast_Description"	"被动：每当你的技能造成直接伤害，就会对目标施加液态火，在%duration%秒内造成额外伤害。\n液态火：<br>持续造成魔法伤害，伤害总量为技能伤害的【%int_factor_tooltip% x 智力】%%，可叠加。\n主动：向目标发射一颗大火球，对%radius%范围内的所有敌人造成【%sp_factor%%%法术强度】点魔法伤害，并将目标身上的【液态火】扩散到周围的敌人身上。<br>大火球必定暴击。"
"DOTA_Tooltip_modifier_mage_hellfire_blast"	"明火暴击：液态火伤害"
"DOTA_Tooltip_modifier_mage_hellfire_blast_Description"	"所有技能额外造成%fMODIFIER_PROPERTY_TOOLTIP%%%的液态火伤害"
"DOTA_Tooltip_modifier_mage_hellfire_blast_debuff"	"液态火伤害"
"DOTA_Tooltip_modifiermage_hellfire_blast_debuff_Description"	"每秒受到%fMODIFIER_PROPERTY_TOOLTIP%点魔法伤害"
